Gene stable ID	Gene name
AGAP005494	
AGAP005495	
AGAP005496	LRIM12
AGAP005497	
AGAP005499	
AGAP005500	
AGAP005501	
AGAP005502	
AGAP005503	
AGAP005504	
AGAP005505	
AGAP005506	
AGAP005507	
AGAP005508	
AGAP005509	
AGAP005510	
AGAP005511	
AGAP005512	
AGAP005513	
AGAP005514	Gr47
AGAP005515	
AGAP005516	
AGAP005518	FMRF
AGAP005519	
AGAP005520	
AGAP005521	
AGAP005522	
AGAP005523	
AGAP005524	
AGAP005525	
AGAP005526	
AGAP005527	NMDAR3
AGAP005528	
AGAP005529	
AGAP005530	
AGAP005531	
AGAP005532	
AGAP005533	
AGAP005534	
AGAP005535	
AGAP005536	
AGAP005537	
AGAP005538	
AGAP005539	
AGAP005540	
AGAP005541	
AGAP005542	
AGAP005543	
AGAP005544	
AGAP005545	
AGAP005546	
AGAP005547	
AGAP005548	
AGAP005549	
AGAP005550	
AGAP005551	
AGAP005552	PGRPLD
AGAP005553	
AGAP005555	
AGAP005556	
AGAP005557	
AGAP005558	
AGAP005559	
AGAP005560	
AGAP005561	
AGAP005562	
AGAP005563	Tret1
AGAP005807	
AGAP005565	
AGAP005566	
AGAP005567	
AGAP005568	
AGAP005569	
AGAP005570	
AGAP005571	
AGAP005572	
AGAP005573	
AGAP005574	
AGAP005575	
AGAP005576	
AGAP005577	
AGAP005578	
AGAP005580	
AGAP005581	
AGAP005582	
AGAP005583	
AGAP005584	
AGAP005585	
AGAP005586	
AGAP005587	
AGAP005588	
AGAP005589	
AGAP005591	
AGAP005592	
AGAP005593	
AGAP005594	
AGAP005595	
AGAP005596	
AGAP005597	
AGAP005598	
AGAP005599	
AGAP005600	
AGAP005601	
AGAP005602	
AGAP005603	
AGAP005604	Med20
AGAP028194	
AGAP028174	
AGAP005605	
AGAP028110	
AGAP010469	
AGAP005608	
AGAP005609	
AGAP005610	
AGAP005611	
AGAP005612	
AGAP005613	
AGAP005614	
AGAP005615	mRpS15
AGAP005616	
AGAP005617	
AGAP005618	
AGAP005619	
AGAP005620	ATT
AGAP028053	
AGAP005621	
AGAP005622	
AGAP005623	
AGAP005624	
AGAP005625	SCRASP1
AGAP028221	
AGAP028136	
AGAP028173	
AGAP028003	
AGAP005628	
AGAP005629	
AGAP005630	
AGAP005631	
AGAP005632	
